dst_port,ip_prot,flow_duration,down_up_ratio,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_var,pkt_len_std,bytes_per_s,pkt_per_s,fwd_pkt_per_s,bwd_pkt_per_s,fwd_pkt_cnt,fwd_pkt_len_tot,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_hdr_len_tot,fwd_pkt_hdr_len_min,fwd_non_empty_pkt_cnt,bwd_pkt_cnt,bwd_pkt_len_tot,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_hdr_len_tot,bwd_pkt_hdr_len_min,bwd_non_empty_pkt_cnt,iat_max,iat_min,iat_mean,iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,flag_SYN,flag_fin,flag_rst,flag_ack,flag_psh,fwd_flag_psh,bwd_flag_psh,flag_urg,fwd_flag_urg,bwd_flag_urg,flag_cwr,flag_ece,fwd_bulk_bytes_mean,fwd_bulk_pkt_mean,fwd_bulk_rate_mean,bwd_bulk_bytes_mean,bwd_bulk_pkt_mean,bwd_bulk_rate_mean,fwd_subflow_bytes_mean,fwd_subflow_pkt_mean,bwd_subflow_bytes_mean,bwd_subflow_pkt_mean,fwd_tcp_init_win_bytes,bwd_tcp_init_win_bytes,label
443,6,116573668,1.521739,1460.0,0.0,726.793103,493703.430127,702.640328,361.608249,0.497539,0.1973,0.300239,23,897,267.0,0.0,39.0,76.275815,472,20,7,35,41257,1460.0,0.0,1178.771429,541.859005,712,20,33,58363987.0,0.0,2045152.070175,10798502.263631,116573668,58363987.0,20.0,5298803.090909,17114101.657769,116481356,58375297.0,0.0,3425922.235294,13904322.500956,77960.0,54794.0,66377.0,16380.835693,58363987.0,57983382.0,58173684.5,269128.376454,2,0,0,57,15,7,8,0,0,0,0,0,0.0,0.0,0.0,18506.5,14.0,2687359.326218,299.0,7.666667,13752.333333,11.666667,8192,29200,Benign
53,17,291,1.0,68.0,36.0,52.0,512.0,22.627417,357388.316151,6872.852234,3436.426117,3436.426117,1,36,36.0,36.0,36.0,0.0,8,8,1,1,68,68.0,0.0,68.0,0.0,8,8,1,291.0,291.0,291.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,68.0,1.0,-1,-1,Benign
80,6,93128,1.333333,935.0,0.0,186.142857,127850.809524,357.562316,13991.495576,75.165364,32.213727,42.951636,3,368,368.0,0.0,122.666667,212.464899,104,32,1,4,935,935.0,0.0,233.75,467.5,136,32,1,48990.0,5.0,15521.333333,20952.484422,59483,48996.0,10487.0,29741.5,27229.975037,93122,59482.0,17.0,31040.666667,29816.486888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,6,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,3.0,935.0,4.0,26883,26847,DoS Hulk
53,17,30678,1.0,69.0,37.0,53.0,512.0,22.627417,3455.244801,65.193298,32.596649,32.596649,1,37,37.0,37.0,37.0,0.0,8,8,1,1,69,69.0,0.0,69.0,0.0,8,8,1,30678.0,30678.0,30678.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,69.0,1.0,-1,-1,Benign
80,6,1142,1.333333,935.0,0.0,169.0,122633.666667,350.1909,1035901.926445,6129.597198,2626.970228,3502.62697,3,248,248.0,0.0,82.666667,143.182867,72,20,1,4,935,935.0,0.0,233.75,467.5,92,20,1,602.0,4.0,190.333333,238.188721,922,602.0,320.0,461.0,199.404112,1138,925.0,17.0,379.333333,480.961883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,6,2,1,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,248.0,3.0,935.0,4.0,65535,26883,DDoS HOIC
80,6,1100108,1.0,935.0,0.0,156.875,111392.410714,333.755016,1140.797085,7.272013,3.636007,3.636007,4,320,320.0,0.0,80.0,160.0,144,32,1,4,935,935.0,0.0,233.75,467.5,136,32,1,1039911.0,6.0,157158.285714,389508.796637,1060786,1039911.0,7410.0,353595.333333,594374.51282,60191,39278.0,35.0,20063.666667,19634.169612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,6,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,2.0,467.5,2.0,26883,26847,DoS Hulk
3389,6,3883926,0.571429,65496.0,0.0,3058.181818,194508017.774892,13946.613129,17322.678135,5.664372,3.6046,2.059771,14,1392,684.0,0.0,99.428571,190.105523,292,20,7,8,65888,65496.0,0.0,8236.0,23136.739652,172,20,5,937580.0,3.0,184948.857143,261658.325835,3883926,1183363.0,3.0,298763.538462,353026.614099,3151331,937580.0,108206.0,450190.142857,323160.254949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,21,12,7,5,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1392.0,14.0,65888.0,8.0,8192,64000,Benign
80,6,96433,1.333333,935.0,0.0,179.571429,125364.619048,354.068664,13034.956913,72.589259,31.109682,41.479576,3,322,322.0,0.0,107.333333,185.906787,104,32,1,4,935,935.0,0.0,233.75,467.5,136,32,1,38770.0,6.0,16072.166667,17965.760862,68043,38770.0,29273.0,34021.5,6715.393101,96425,68041.0,26.0,32141.666667,34164.998995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,6,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,3.0,935.0,4.0,26883,26847,DoS Hulk
3389,6,3964874,0.692308,1179.0,0.0,145.0,81416.952381,285.33656,804.56529,5.548726,3.278793,2.269933,13,1459,741.0,0.0,112.230769,200.666454,272,20,7,9,1731,1179.0,0.0,192.333333,386.074475,192,20,5,951029.0,84.0,188803.52381,239908.982062,3964874,1204122.0,54871.0,330406.166667,317677.142438,3960222,951029.0,155102.0,495027.75,327239.78843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,21,12,7,5,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1459.0,13.0,1731.0,9.0,8192,64000,Benign
53,17,2773,1.0,161.0,51.0,106.0,6050.0,77.781746,76451.496574,721.240534,360.620267,360.620267,1,51,51.0,51.0,51.0,0.0,8,8,1,1,161,161.0,0.0,161.0,0.0,8,8,1,2773.0,2773.0,2773.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,161.0,1.0,-1,-1,Benign
80,6,29061,1.333333,935.0,0.0,177.0,124556.333333,352.925393,42634.458553,240.872647,103.231135,137.641513,3,304,304.0,0.0,101.333333,175.514482,104,32,1,4,935,935.0,0.0,233.75,467.5,136,32,1,15166.0,6.0,4843.5,7290.284898,28446,15166.0,13280.0,14223.0,1333.603389,29054,28445.0,47.0,9684.666667,16248.9657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,6,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,3.0,935.0,4.0,26883,26847,DoS Hulk
53,17,385,1.0,57.0,41.0,49.0,128.0,11.313708,254545.454545,5194.805195,2597.402597,2597.402597,1,41,41.0,41.0,41.0,0.0,8,8,1,1,57,57.0,0.0,57.0,0.0,8,8,1,385.0,385.0,385.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,57.0,1.0,-1,-1,Benign
3389,6,2082773,0.7,1173.0,0.0,160.529412,97371.514706,312.044091,1310.272411,8.162195,4.801291,3.360904,10,1148,677.0,0.0,114.8,210.092466,212,20,5,7,1581,1173.0,0.0,225.857143,430.098604,152,20,5,953167.0,31.0,130173.3125,231184.69182,2082773,1135052.0,31.0,231419.222222,345309.766865,1960892,953167.0,123721.0,326815.333333,320606.079307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,16,10,5,5,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1148.0,10.0,1581.0,7.0,8192,64000,Benign
6553,17,0,0.0,1450.0,1450.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1450,1450.0,1450.0,1450.0,0.0,8,8,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,1.0,0.0,0.0,-1,-1,Benign
53,17,273,1.0,128.0,32.0,80.0,4608.0,67.882251,586080.586081,7326.007326,3663.003663,3663.003663,1,32,32.0,32.0,32.0,0.0,8,8,1,1,128,128.0,0.0,128.0,0.0,8,8,1,273.0,273.0,273.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,128.0,1.0,-1,-1,Benign
53,17,1538,1.0,78.0,31.0,54.5,1104.5,33.234019,70871.261378,1300.390117,650.195059,650.195059,1,31,31.0,31.0,31.0,0.0,8,8,1,1,78,78.0,0.0,78.0,0.0,8,8,1,1538.0,1538.0,1538.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,78.0,1.0,-1,-1,Benign
53,17,1634,1.0,100.0,44.0,72.0,1568.0,39.59798,88127.294982,1223.990208,611.995104,611.995104,1,44,44.0,44.0,44.0,0.0,8,8,1,1,100,100.0,0.0,100.0,0.0,8,8,1,1634.0,1634.0,1634.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,100.0,1.0,-1,-1,Benign
53,17,957,1.0,139.0,40.0,89.5,4900.5,70.003571,187042.842215,2089.864159,1044.932079,1044.932079,1,40,40.0,40.0,40.0,0.0,8,8,1,1,139,139.0,0.0,139.0,0.0,8,8,1,957.0,957.0,957.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,139.0,1.0,-1,-1,Benign
311,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,20,20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48814,-1,Benign
80,6,107999,1.333333,935.0,0.0,184.714286,127258.904762,356.733661,11972.333077,64.815415,27.778035,37.03738,3,358,358.0,0.0,119.333333,206.691396,104,32,1,4,935,935.0,0.0,233.75,467.5,136,32,1,88546.0,6.0,17999.833333,35328.400832,89446,88546.0,900.0,44723.0,61975.080944,107993,89447.0,19.0,35997.666667,47204.448321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,6,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,3.0,935.0,4.0,26883,26847,DoS Hulk
80,6,50268,1.333333,935.0,0.0,185.571429,127610.619048,357.226285,25841.489616,139.253601,59.680115,79.573486,3,364,364.0,0.0,121.333333,210.155498,104,32,1,4,935,935.0,0.0,233.75,467.5,136,32,1,49286.0,5.0,8378.0,20042.618023,952,718.0,234.0,476.0,342.239682,50262,49286.0,25.0,16754.0,28177.342618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,6,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,3.0,935.0,4.0,26883,26847,DoS Hulk
445,6,93040,0.8,140.0,0.0,60.555556,4224.027778,64.992521,5857.695615,96.732588,53.740327,42.992261,5,373,140.0,0.0,74.6,70.283711,112,20,3,4,172,133.0,0.0,43.0,62.753486,92,20,2,30955.0,3.0,11630.0,15992.694975,92993,31019.0,3.0,23248.25,15496.845902,92995,31007.0,30993.0,30998.333333,7.571878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,8,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,5.0,172.0,4.0,8192,8192,Benign
80,6,98154,1.333333,935.0,0.0,186.857143,128157.47619,357.990888,13325.997922,71.316503,30.564215,40.752287,3,373,373.0,0.0,124.333333,215.35165,104,32,1,4,935,935.0,0.0,233.75,467.5,136,32,1,44126.0,7.0,16359.0,19043.000919,53939,29931.0,24008.0,26969.5,4188.193465,98146,53938.0,82.0,32715.333333,28683.961883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,6,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,3.0,935.0,4.0,26883,26847,DoS Hulk
443,6,117714958,1.0,439.0,0.0,79.428571,15077.648352,122.791076,9.446548,0.118931,0.059466,0.059466,7,344,206.0,0.0,49.142857,72.891309,140,20,4,7,768,439.0,0.0,109.714286,158.792017,140,20,5,58608631.0,1.0,9054996.769231,21982349.568215,117714958,58696694.0,1092.0,19619159.666667,30235287.104225,117558245,58765252.0,1.0,19593040.833333,30300875.192527,231978.0,155866.0,193922.0,53819.31133,58608631.0,58562518.0,58585574.5,32606.815001,0,0,0,14,9,4,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,114.666667,2.333333,256.0,2.333333,254,205,Benign
53,17,1378,1.0,99.0,43.0,71.0,1568.0,39.59798,103047.895501,1451.37881,725.689405,725.689405,1,43,43.0,43.0,43.0,0.0,8,8,1,1,99,99.0,0.0,99.0,0.0,8,8,1,1378.0,1378.0,1378.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,99.0,1.0,-1,-1,Benign
53,17,28916,1.0,118.0,34.0,76.0,3528.0,59.39697,5256.60534,69.16586,34.58293,34.58293,1,34,34.0,34.0,34.0,0.0,8,8,1,1,118,118.0,0.0,118.0,0.0,8,8,1,28916.0,28916.0,28916.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,118.0,1.0,-1,-1,Benign
3389,6,32989922,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.151561,0.060625,0.090937,2,0,0.0,0.0,0.0,0.0,64,32,0,3,0,0.0,0.0,0.0,0.0,84,20,0,29700681.0,102.0,8247480.5,14366415.207564,3289241,3289241.0,3289241.0,3289241.0,0.0,32989820,29980383.0,3009437.0,16494910.0,19071338.811616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,1.0,8192,64000,Benign
445,6,350520,0.8,140.0,0.0,60.555556,4224.027778,64.992521,1554.83282,25.676138,14.264521,11.411617,5,373,140.0,0.0,74.6,70.283711,112,20,3,4,172,133.0,0.0,43.0,62.753486,92,20,2,117567.0,38.0,43815.0,60180.483932,350482,117615.0,809.0,87620.5,57879.2359,350469,117681.0,116066.0,116823.0,812.223491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,8,5,3,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,5.0,172.0,4.0,8192,8192,Benign
5355,17,417846,0.0,22.0,22.0,22.0,0.0,0.0,105.301953,4.786452,4.786452,0.0,2,44,22.0,22.0,22.0,0.0,16,8,2,0,0,0.0,0.0,0.0,0.0,0,0,0,417846.0,417846.0,417846.0,0.0,417846,417846.0,417846.0,417846.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0,0.0,-1,-1,Benign
443,6,119960919,0.882353,1460.0,0.0,220.6875,175470.415323,418.89189,58.869172,0.266754,0.141713,0.125041,17,1305,332.0,0.0,76.764706,100.086543,352,20,9,15,5757,1460.0,0.0,383.8,568.713234,308,20,10,58923658.0,1.0,3869707.064516,14607487.503521,119960919,58923658.0,41.0,7497557.4375,19955820.028163,119888269,59007009.0,1.0,8563447.785714,21216467.326172,1582465.0,220381.0,901423.0,963138.832946,58923658.0,58230649.0,58577153.5,490031.363323,2,0,0,31,16,9,7,0,0,0,0,0,0.0,0.0,0.0,4665.0,4.0,80431034.482759,326.25,4.25,1439.25,3.75,8192,65535,Benign
53,17,86999,1.0,68.0,36.0,52.0,341.333333,18.475209,2390.832079,45.97754,22.98877,22.98877,2,72,36.0,36.0,36.0,0.0,16,8,2,2,136,68.0,0.0,68.0,0.0,16,8,2,86230.0,246.0,28999.666667,49563.116047,86476,86476.0,86476.0,86476.0,0.0,86753,86753.0,86753.0,86753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,2.0,136.0,2.0,-1,-1,Benign
53,17,1877,1.0,131.0,38.0,84.5,4324.5,65.760931,90037.293554,1065.530101,532.765051,532.765051,1,38,38.0,38.0,38.0,0.0,8,8,1,1,131,131.0,0.0,131.0,0.0,8,8,1,1877.0,1877.0,1877.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,131.0,1.0,-1,-1,Benign
443,6,117870144,2.896552,1460.0,0.0,967.513274,445952.180626,667.796511,927.537681,0.958682,0.246033,0.712649,29,1022,250.0,0.0,35.241379,70.441797,592,20,8,84,108307,1460.0,0.0,1289.369048,437.700117,1692,20,81,59672618.0,0.0,1052412.0,7825227.667857,117870144,59672618.0,51.0,4209648.0,15425873.08926,117794569,59683028.0,0.0,1419211.674699,9081314.396791,89854.0,62357.0,76105.5,19443.315162,59672618.0,57967348.0,58819983.0,1205807.980754,2,0,0,112,15,8,7,0,0,0,1,1,690.0,4.0,1005830.90379,104433.0,74.0,5088087.697929,340.666667,9.666667,36102.333333,28.0,8192,29200,Benign
80,6,5350730,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.747562,0.560671,0.18689,3,0,0.0,0.0,0.0,0.0,72,20,0,1,0,0.0,0.0,0.0,0.0,32,32,0,5318721.0,21.0,1783576.666667,3061566.521472,5350730,5318721.0,32009.0,2675365.0,3738269.90538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,3,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.5,8192,29200,Benign
