 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,117187316,16,14,434,1768,434,0,27.125,108.5,1768,0,126.2857143,472.5178757,18.7904295,0.256000402,4040941.931,4937093.383,10200000,45,117000000,7812487.733,4186607.07,10200000,23388,114000000,8780299.923,3535272.908,10200000,905,0,0,0,0,520,456,0.136533548,0.119466854,0,1768,71.03225806,324.4362787,105258.8989,0,0,0,1,0,0,0,0,0,73.4,27.125,126.2857143,520,0,0,0,0,0,0,16,434,14,1768,29200,939,1,32,178495.0909,515278.4566,1732118,22882,10200000,61886.35393,10200000,10000000,BENIGN
53,233,2,2,70,326,35,35,35,0,163,163,163,0,1699570.815,17167.38197,77.66666667,92.15385686,181,4,4,4,0,4,4,48,48,0,48,48,0,0,0,0,64,64,8583.690987,8583.690987,35,163,86.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,107.75,35,163,64,0,0,0,0,0,0,2,70,2,326,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,11618515,2,2,116,260,76,40,58,25.45584412,136,124,130,8.485281374,32.36213922,0.344278077,3872838.333,6577889.554,11500000,30408,11600000,11600000,0,11600000,11600000,11500000,11500000,0,11500000,11500000,0,0,0,0,64,40,0.172139038,0.172139038,40,136,83.2,45.37840896,2059.2,0,0,0,0,0,0,0,0,1,104,58,130,64,0,0,0,0,0,0,2,116,2,260,-1,-1,1,32,119952,0,119952,119952,11500000,0,11500000,11500000,BENIGN
443,141,2,0,12,0,6,6,6,0,0,0,0,0,85106.38298,14184.39716,141,0,141,141,141,141,0,141,141,0,0,0,0,0,0,0,0,0,40,0,14184.39716,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,254,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
443,419414,10,5,886,735,645,0,88.6,200.7664204,597,0,147,258.5575371,3864.916288,35.76418527,29958.14286,67676.76671,250889,3,419414,46601.55556,81187.47201,250889,3,109720,27430,30871.58496,57154,203,0,0,0,0,332,168,23.84279018,11.92139509,0,645,101.3125,208.564848,43499.29583,0,0,0,1,0,0,0,0,0,108.0666667,88.6,147,332,0,0,0,0,0,0,10,886,5,735,65535,229,5,32,0,0,0,0,0,0,0,0,BENIGN
53,70319,2,2,58,510,29,29,29,0,255,255,255,0,8077.475504,56.88363031,23439.66667,40555.39828,70269,3,3,3,0,3,3,47,47,0,47,47,0,0,0,0,64,40,28.44181516,28.44181516,29,255,119.4,123.785298,15322.8,0,0,0,0,0,0,0,0,1,149.25,29,255,64,0,0,0,0,0,0,2,58,2,510,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,191,2,2,60,150,30,30,30,0,75,75,75,0,1099476.44,20942.40838,63.66666667,107.6769861,188,1,1,1,0,1,1,2,2,0,2,2,0,0,0,0,80,80,10471.20419,10471.20419,30,75,48,24.64751509,607.5,0,0,0,0,0,0,0,0,1,60,30,75,80,0,0,0,0,0,0,2,60,2,150,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN
53,79032,1,1,80,162,80,80,80,0,162,162,162,0,3062.050815,25.30620508,79032,0,79032,79032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,12.65310254,12.65310254,80,162,107.3333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,161,80,162,32,0,0,0,0,0,0,1,80,1,162,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,5898892,3,1,12,0,6,0,4,3.464101615,0,0,0,0,2.034280336,0.678093445,1966297.333,3392608.65,5883735,159,5898892,2949446,4149711.3,5883735,15157,0,0,0,0,0,0,0,0,0,72,32,0.508570084,0.169523361,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3,4,0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0,0,0,0,0,0,0,0,BENIGN
53,60297,1,1,49,65,49,49,49,0,65,65,65,0,1890.641325,33.16914606,60297,0,60297,60297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16.58457303,16.58457303,49,65,54.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,81.5,49,65,32,0,0,0,0,0,0,1,49,1,65,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,121877,1,1,47,196,47,47,47,0,196,196,196,0,1993.813435,16.40998712,121877,0,121877,121877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,8.204993559,8.204993559,47,196,96.66666667,86.02519011,7400.333333,0,0,0,0,0,0,0,0,1,145,47,196,20,0,0,0,0,0,0,1,47,1,196,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
38756,59,1,1,6,6,6,6,6,0,6,6,6,0,203389.8305,33898.30508,59,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16949.15254,16949.15254,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,31,320,0,20,0,0,0,0,0,0,0,0,BENIGN
80,51,1,1,0,0,0,0,0,0,0,0,0,0,0,39215.68627,51,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19607.84314,19607.84314,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1444,1174,0,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
53,167,2,2,90,122,45,45,45,0,61,61,61,0,1269461.078,23952.09581,55.66666667,55.89573627,115,4,4,4,0,4,4,48,48,0,48,48,0,0,0,0,40,40,11976.0479,11976.0479,45,61,51.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,64.25,45,61,40,0,0,0,0,0,0,2,90,2,122,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,23405,1,1,45,103,45,45,45,0,103,103,103,0,6323.435163,85.45182653,23405,0,23405,23405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,42.72591327,42.72591327,45,103,64.33333333,33.48631561,1121.333333,0,0,0,0,0,0,0,0,1,96.5,45,103,32,0,0,0,0,0,0,1,45,1,103,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,29647194,2,2,97,190,59,38,48.5,14.8492424,124,66,95,41.01219331,9.680511417,0.13492002,9882398,17100000,29600000,23246,29600000,29600000,0,29600000,29600000,29600000,29600000,0,29600000,29600000,0,0,0,0,52,52,0.06746001,0.06746001,38,124,69.2,32.38363784,1048.7,0,0,0,0,0,0,0,0,1,86.5,48.5,95,52,0,0,0,0,0,0,2,97,2,190,-1,-1,1,20,23246,0,23246,23246,29600000,0,29600000,29600000,BENIGN
80,113840,3,4,428,2266,428,0,142.6666667,247.1059152,2266,0,566.5,1133,23664.79269,61.48981026,18973.33333,20890.97055,47055,4,79839,39919.5,10091.12087,47055,32784,81159,27053,45582.2532,79680,4,0,0,0,0,104,136,26.35277583,35.13703443,0,2266,336.75,793.7915793,630105.0714,0,0,0,1,0,0,0,0,1,384.8571429,142.6666667,566.5,104,0,0,0,0,0,0,3,428,4,2266,29200,237,1,32,0,0,0,0,0,0,0,0,BENIGN
53,188,2,2,94,126,47,47,47,0,63,63,63,0,1170212.766,21276.59574,62.66666667,68.19335256,137,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,40,40,10638.29787,10638.29787,47,63,53.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,66.75,47,63,40,0,0,0,0,0,0,2,94,2,126,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,174109,3,0,0,0,0,0,0,0,0,0,0,0,0,17.23058544,87054.5,61189.48531,130322,43787,174109,87054.5,61189.48531,130322,43787,0,0,0,0,0,0,0,0,0,96,0,17.23058544,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96,0,0,0,0,0,0,3,0,0,0,242,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,18,2,0,12,0,6,6,6,0,0,0,0,0,666666.6667,111111.1111,18,0,18,18,18,18,0,18,18,0,0,0,0,0,0,0,0,0,40,0,111111.1111,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
443,115839506,26,22,789,9621,405,0,30.34615385,90.28131249,1418,0,437.3181818,637.4899728,89.86571472,0.414366408,2464670.34,4279274.155,10000000,1,116000000,4633580.24,4995465.132,10100000,1,111000000,5273349.476,5130593.15,10100000,2,0,0,0,0,840,712,0.224448471,0.189917937,0,1418,212.4489796,473.4144177,224121.2109,0,0,0,1,0,0,0,0,0,216.875,30.34615385,437.3181818,840,0,0,0,0,0,0,26,789,22,9621,29200,357,4,32,55640.83333,64437.06613,260252,36661,9597651.083,1428982.245,10000000,5060038,BENIGN
443,15309305,10,11,988,6777,355,0,98.8,133.7674599,3011,0,616.0909091,958.5753444,507.2078713,1.371714784,765465.25,2434038.63,9991055,3,10300000,1146442.111,3316837.023,9991055,159,15300000,1526299.8,3373038.627,10100000,3,0,0,0,0,212,244,0.653197516,0.718517268,0,3011,352.9545455,719.8505452,518184.8074,0,0,0,1,0,0,0,0,1,369.7619048,98.8,616.0909091,212,0,0,0,0,0,0,10,988,11,6777,8192,62,9,20,326924,0,326924,326924,9991055,0,9991055,9991055,BENIGN
42240,35,2,1,31,6,31,0,15.5,21.92031022,6,6,6,0,1057142.857,85714.28571,17.5,20.50609665,32,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,64,20,57142.85714,28571.42857,0,31,17,16.35033129,267.3333333,0,1,0,0,1,0,0,0,0,22.66666667,15.5,6,64,0,0,0,0,0,0,2,31,1,6,2149,0,0,32,0,0,0,0,0,0,0,0,BENIGN
53,30781,1,1,57,185,57,57,57,0,185,185,185,0,7861.992788,64.97514701,30781,0,30781,30781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,32.4875735,32.4875735,57,185,99.66666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,149.5,57,185,32,0,0,0,0,0,0,1,57,1,185,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,37,2,0,12,0,6,6,6,0,0,0,0,0,324324.3243,54054.05405,37,0,37,37,37,37,0,37,37,0,0,0,0,0,0,0,0,0,40,0,54054.05405,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
443,5943085,8,6,390,3716,209,0,48.75,77.1357801,1460,0,619.3333333,679.9090135,690.886972,2.355678911,457160.3846,1552861.188,5622414,3,5943085,849012.1429,2106346.169,5622414,3,94530,18906,24653.02323,57127,50,0,0,0,0,172,132,1.346102235,1.009576676,0,1460,273.7333333,503.5259203,253538.3524,0,0,0,1,0,0,0,0,0,293.2857143,48.75,619.3333333,172,0,0,0,0,0,0,8,390,6,3716,8192,119,7,20,320668,0,320668,320668,5622414,0,5622414,5622414,BENIGN
443,115302669,41,38,3067,33778,1348,0,74.80487805,292.3042267,2896,0,888.8947368,775.0872938,319.5502786,0.685153264,1478239.346,3519747.624,10000000,2,115000000,2882566.725,4524915.922,10000000,3,111000000,2991621.459,4652051.271,10000000,2,0,0,0,0,1320,1224,0.355585871,0.329567393,0,2896,460.5625,701.9943532,492796.072,0,0,0,1,0,0,0,0,0,466.3924051,74.80487805,888.8947368,1320,0,0,0,0,0,0,41,3067,38,33778,29200,143,5,32,47442.18182,54185.03446,210816,30957,10000000,5420.674319,10000000,9998924,BENIGN
53,219,2,2,68,132,34,34,34,0,66,66,66,0,913242.0091,18264.84018,73,121.2435565,213,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,9132.420091,9132.420091,34,66,46.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,58.5,34,66,64,0,0,0,0,0,0,2,68,2,132,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
443,91,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0,0,340659.3407,32967.03297,45.5,3.535533906,48,43,91,45.5,3.535533906,48,43,0,0,0,0,0,0,0,0,0,96,0,32967.03297,0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0,96,0,0,0,0,0,0,3,31,0,0,30316,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
39026,390017,2,0,0,0,0,0,0,0,0,0,0,0,0,5.127981601,390017,0,390017,390017,390017,390017,0,390017,390017,0,0,0,0,0,0,0,0,0,64,0,5.127981601,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,122,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
137,1600804,39,0,1950,0,50,50,50,0,0,0,0,0,1218.137886,24.36275771,42126.42105,181120.5969,803883,1,1600804,42126.42105,181120.5969,803883,1,0,0,0,0,0,0,0,0,0,936,0,24.36275771,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,51.28205128,50,0,936,0,0,0,0,0,0,39,1950,0,0,-1,-1,38,20,0,0,0,0,0,0,0,0,BENIGN
22,1258196,41,42,2664,6954,456,0,64.97560976,109.864573,976,0,165.5714286,320.4037958,7644.277998,65.96746453,15343.85366,105473.2597,951145,1,1258196,31454.9,158900.8957,995140,1,306911,7485.634146,18731.05551,95081,1,0,0,0,0,1328,1360,32.5863379,33.38112663,0,976,114.5,243.3458791,59217.21687,0,0,0,1,0,0,0,0,1,115.8795181,64.97560976,165.5714286,1328,0,0,0,0,0,0,41,2664,42,6954,29200,243,24,32,0,0,0,0,0,0,0,0,BENIGN
53,462373,4,2,176,200,44,44,44,0,100,100,100,0,813.1962723,12.97653626,92474.6,197337.0439,445236,3,17134,5711.333333,9809.181125,17038,47,3,3,0,3,3,0,0,0,0,104,64,8.651024173,4.325512087,44,100,60,27.32520204,746.6666667,0,0,0,0,0,0,0,0,0,70,44,100,104,0,0,0,0,0,0,4,176,2,200,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
443,116861695,18,18,901,8137,241,0,50.05555556,76.17276974,2217,0,452.0555556,694.0265694,77.33928555,0.308056459,3338905.571,13700000,58100000,1,117000000,6874217.353,19300000,58200000,4,117000000,6872816.941,19300000,58200000,1,0,0,0,0,396,372,0.15402823,0.15402823,0,2217,244.2702703,521.824771,272301.0916,0,0,0,1,0,0,0,0,1,251.0555556,50.05555556,452.0555556,396,0,0,0,0,0,0,18,901,18,8137,8192,292,15,20,198129,66346.41507,245043,151215,58100000,53078.26342,58100000,58100000,BENIGN
36936,2,3,0,12,0,6,0,4,3.464101615,0,0,0,0,6000000,1500000,1,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,72,0,1500000,0,0,6,3,3.464101615,12,0,0,0,0,1,0,0,0,0,4,4,0,72,0,0,0,0,0,0,3,12,0,0,2081,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
53,418,2,2,90,172,45,45,45,0,86,86,86,0,626794.2584,9569.37799,139.3333333,198.4447866,367,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,40,40,4784.688995,4784.688995,45,86,61.4,22.45662486,504.3,0,0,0,0,0,0,0,0,1,76.75,45,86,40,0,0,0,0,0,0,2,90,2,172,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,76478,2,2,60,344,30,30,30,0,172,172,172,0,5282.564921,52.30262298,25492.66667,44150.26379,76473,1,1,1,0,1,1,4,4,0,4,4,0,0,0,0,64,64,26.15131149,26.15131149,30,172,86.8,77.77660317,6049.2,0,0,0,0,0,0,0,0,1,108.5,30,172,64,0,0,0,0,0,0,2,60,2,344,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
33396,45,1,1,0,0,0,0,0,0,0,0,0,0,0,44444.44444,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,22222.22222,22222.22222,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,219,282,0,32,0,0,0,0,0,0,0,0,BENIGN
53,163,2,2,52,84,26,26,26,0,42,42,42,0,834355.8282,24539.8773,54.33333333,91.51138363,160,1,2,2,0,2,2,1,1,0,1,1,0,0,0,0,64,64,12269.93865,12269.93865,26,42,32.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,40.5,26,42,64,0,0,0,0,0,0,2,52,2,84,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,30558,1,1,61,77,61,61,61,0,77,77,77,0,4516.002356,65.44930951,30558,0,30558,30558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32.72465475,32.72465475,61,77,66.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,99.5,61,77,20,0,0,0,0,0,0,1,61,1,77,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,58462270,11,9,615,5842,202,0,55.90909091,76.12680808,1460,0,649.1111111,697.5803618,110.4473022,0.342100982,3076961.579,13300000,58100000,4,58500000,5846227,18400000,58100000,4,110663,13832.875,18760.90201,44355,48,0,0,0,0,232,192,0.18815554,0.153945442,0,1460,307.4761905,538.1457627,289600.8619,0,0,0,1,0,0,0,0,0,322.85,55.90909091,649.1111111,232,0,0,0,0,0,0,11,615,9,5842,8192,123,10,20,339217,0,339217,339217,58100000,0,58100000,58100000,BENIGN
53,50222,1,1,39,67,39,39,39,0,67,67,67,0,2110.628808,39.82318506,50222,0,50222,50222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,19.91159253,19.91159253,39,67,48.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,72.5,39,67,20,0,0,0,0,0,0,1,39,1,67,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,192,2,2,46,46,23,23,23,0,23,23,23,0,479166.6667,20833.33333,64,109.1192009,190,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,10416.66667,10416.66667,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
80,66,2,0,12,0,6,6,6,0,0,0,0,0,181818.1818,30303.0303,66,0,66,66,66,66,0,66,66,0,0,0,0,0,0,0,0,0,40,0,30303.0303,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,254,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
21,135131,20,25,176,440,43,0,8.8,12.68069399,52,0,17.6,16.1606518,4558.539491,333.0101901,3071.159091,13615.52913,81559,0,135065,7108.684211,28000.27096,122428,2,134994,5624.75,18221.65412,81559,0,0,0,0,0,656,816,148.0045289,185.0056612,0,52,13.39130435,15.17816891,230.3768116,0,0,0,1,0,0,0,0,1,13.68888889,8.8,17.6,656,0,0,0,0,0,0,20,176,25,440,29200,227,12,32,0,0,0,0,0,0,0,0,BENIGN
53,71546,1,1,55,111,55,55,55,0,111,111,111,0,2320.185615,27.95404355,71546,0,71546,71546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,13.97702178,13.97702178,55,111,73.66666667,32.33161507,1045.333333,0,0,0,0,0,0,0,0,1,110.5,55,111,32,0,0,0,0,0,0,1,55,1,111,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,167,2,2,72,104,36,36,36,0,52,52,52,0,1053892.216,23952.09581,55.66666667,56.88878038,116,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,64,64,11976.0479,11976.0479,36,52,42.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,53,36,52,64,0,0,0,0,0,0,2,72,2,104,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
60384,769,1,1,0,0,0,0,0,0,0,0,0,0,0,2600.780234,769,0,769,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1300.390117,1300.390117,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,227,229,0,32,0,0,0,0,0,0,0,0,BENIGN
