Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
3389,6,01/03/2018 11:24:58,1403076,8,7,1148,1581,677,0,143.5,228.1296624,1173,0,225.8571429,430.0986044,1945.012245,10.69079651,100219.7143,251830.0104,968778,39,1403076,200439.4286,384598.0423,1070804,40,1339212,223202,365536.2277,968778,64013,0,0,0,0,168,148,5.701758137,4.98903837,0,1173,170.5625,319.4332416,102037.5958,0,0,0,1,0,0,0,0,0,181.9333333,143.5,225.8571429,0,0,0,0,0,0,8,1148,7,1581,8192,62852,5,20,0,0,0,0,0,0,0,0,Benign
10243,6,01/03/2018 10:14:19,249,1,1,0,0,0,0,0,0,0,0,0,0,0,8032.128514,249,0,249,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,4016.064257,4016.064257,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Infilteration
3389,6,01/03/2018 04:51:19,3619561,10,8,1144,1600,677,0,114.4,209.8969059,1173,0,200,404.8544712,758.1029854,4.972978767,212915.3529,322241.7327,1080193,45,3619561,402173.4444,434778.585,1160076,58,3475529,496504.1429,443471.0915,1275017,143091,0,0,0,0,212,172,2.762765982,2.210212785,0,1173,144.4210526,297.9972624,88802.36842,0,0,1,1,0,0,0,1,0,152.4444444,114.4,200,0,0,0,0,0,0,10,1144,8,1600,8192,62856,5,20,0,0,0,0,0,0,0,0,Benign
53,17,01/03/2018 10:35:25,338,1,1,78,158,78,78,78,0,158,158,158,0,698224.8521,5917.159763,338,0,338,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2958.579882,2958.579882,78,158,104.6666667,46.18802154,2133.333333,0,0,0,0,0,0,0,0,1,157,78,158,0,0,0,0,0,0,1,78,1,158,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
443,6,01/03/2018 03:55:08,113462,6,6,1352,3907,789,0,225.3333333,311.0226144,1400,0,651.1666667,696.0800002,46350.31993,105.7622816,10314.72727,13973.75096,30558,1,82904,16580.8,14496.53249,30763,313,88363,17672.6,16275.61192,31891,1,0,0,0,0,132,132,52.88114082,52.88114082,0,1400,404.5384615,549.8183966,302300.2692,0,0,1,1,0,0,0,1,1,438.25,225.3333333,651.1666667,0,0,0,0,0,0,6,1352,6,3907,8192,8030,3,20,0,0,0,0,0,0,0,0,Benign
443,6,01/03/2018 01:41:49,123701,10,9,511,4831,194,0,51.1,80.54184558,1460,0,536.7777778,696.580178,43184.77619,153.5961714,6872.277778,16917.69314,69748,2,123701,13744.55556,22622.92362,69748,20,106453,13306.625,30251.47071,86744,2,0,0,0,0,212,192,80.84009022,72.7560812,0,1460,267.1,519.7474994,270137.4632,0,0,1,1,0,0,0,1,0,281.1578947,51.1,536.7777778,0,0,0,0,0,0,10,511,9,4831,8192,31,4,20,0,0,0,0,0,0,0,0,Benign
50198,6,01/03/2018 08:50:29,18,1,1,0,0,0,0,0,0,0,0,0,0,0,111111.1111,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,55555.55556,55555.55556,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,31,255,0,20,0,0,0,0,0,0,0,0,Benign
443,6,01/03/2018 12:00:20,30192791,10,15,894,4042,568,0,89.4,181.7777642,1460,0,269.4666667,511.8921296,163.4827333,0.828012223,1258032.958,3379992.344,10000000,0,30100000,3349908.778,5005245.087,10000000,167,30200000,2155428.571,4267165.183,10000000,0,0,0,0,0,212,312,0.331204889,0.496807334,0,1460,189.8461538,409.774835,167915.4154,0,0,1,1,0,0,0,1,1,197.44,89.4,269.4666667,0,0,0,0,0,0,10,894,15,4042,8192,63,6,20,37387.66667,35610.39674,78507,16802,10000000,3235.355673,10000000,10000000,Benign
53,17,01/03/2018 08:58:56,57423,2,2,68,234,34,34,34,0,117,117,117,0,5259.21669,69.65849921,19141,16637.12367,30139,1,27283,27283,0,27283,27283,1,1,0,1,1,0,0,0,0,16,16,34.8292496,34.8292496,34,117,67.2,45.46097227,2066.7,0,0,0,0,0,0,0,0,1,84,34,117,0,0,0,0,0,0,2,68,2,234,-1,-1,1,8,0,0,0,0,0,0,0,0,Benign
53114,6,01/03/2018 03:52:55,44,2,0,0,0,0,0,0,0,0,0,0,0,0,45454.54545,44,0,44,44,44,44,0,44,44,0,0,0,0,0,0,0,0,0,40,0,45454.54545,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0,0,0,0,0,0,0,0,Benign
53,17,01/03/2018 08:16:46,399,1,1,40,72,40,40,40,0,72,72,72,0,280701.7544,5012.531328,399,0,399,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2506.265664,2506.265664,40,72,50.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,76,40,72,0,0,0,0,0,0,1,40,1,72,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
1434,6,01/03/2018 10:40:13,254,1,1,0,0,0,0,0,0,0,0,0,0,0,7874.015748,254,0,254,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,3937.007874,3937.007874,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Infilteration
3389,6,01/03/2018 03:45:46,1673075,8,7,1144,1581,677,0,143,227.9699228,1173,0,225.8571429,430.0986044,1628.737504,8.965527547,119505.3571,245504.202,953417,5,1673075,239010.7143,391529.7453,1122012,5,1564722,260787,340119.7407,953417,108831,0,0,0,0,172,152,4.781614692,4.183912855,0,1173,170.3125,319.4027173,102018.0958,0,0,1,1,0,0,0,1,0,181.6666667,143,225.8571429,0,0,0,0,0,0,8,1144,7,1581,8192,62856,5,20,0,0,0,0,0,0,0,0,Benign
443,6,01/03/2018 10:24:31,117601228,13,13,1147,714,517,0,88.23076923,152.6647492,223,0,54.92307692,64.59032634,15.82466469,0.221086127,4704049.12,16200000,58900000,9,118000000,9800102.333,22800000,58900000,35,118000000,9798230.667,22800000,58900000,18,0,0,0,0,296,272,0.110543063,0.110543063,0,517,68.92592593,114.6710767,13149.45584,0,0,1,1,0,0,0,1,1,71.57692308,88.23076923,54.92307692,0,0,0,0,0,0,13,1147,13,714,8192,123,7,20,112455,24096.78489,129494,95416,58600000,382246.3696,58900000,58400000,Benign
53,17,01/03/2018 04:39:58,2076,1,1,34,64,34,34,34,0,64,64,64,0,47206.1657,963.3911368,2076,0,2076,2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,481.6955684,481.6955684,34,64,44,17.32050808,300,0,0,0,0,0,0,0,0,1,66,34,64,0,0,0,0,0,0,1,34,1,64,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
0,0,01/03/2018 02:31:20,112640958,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633296,56300000,26.87005769,56300000,56300000,113000000,56300000,26.87005769,56300000,56300000,0,0,0,0,0,0,0,0,0,0,0,0.026633296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56300000,26.87005769,56300000,56300000,Benign
445,6,01/03/2018 03:30:40,202779,5,2,53,131,53,0,10.6,23.70232056,131,0,65.5,92.63098834,907.3917911,34.52033988,33796.5,46643.21816,109901,97,202779,50694.75,49914.6475,109901,4294,74626,74626,0,74626,74626,0,0,0,0,112,52,24.65738563,9.862954251,0,131,23,47.4160913,2248.285714,0,0,1,1,0,0,0,1,0,26.28571429,10.6,65.5,0,0,0,0,0,0,5,53,2,131,8192,2240,1,20,0,0,0,0,0,0,0,0,Infilteration
445,6,01/03/2018 05:03:19,178138,3,1,0,0,0,0,0,0,0,0,0,0,0,22.45450157,59379.33333,102761.4314,178038,1,178138,89069,125961.1736,178137,1,0,0,0,0,0,0,0,0,0,72,32,16.84087617,5.613625392,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0,0,0,0,0,0,0,0,Benign
53,17,01/03/2018 10:10:59,1032,1,1,51,79,51,51,51,0,79,79,79,0,125968.9922,1937.984496,1032,0,1032,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,968.9922481,968.9922481,51,79,60.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,90.5,51,79,0,0,0,0,0,0,1,51,1,79,-1,-1,0,8,0,0,0,0,0,0,0,0,Infilteration
53,17,01/03/2018 02:20:02,49420,2,2,80,278,40,40,40,0,139,139,139,0,7244.030757,80.93889114,16473.33333,14395.35669,26639,1,26639,26639,0,26639,26639,1,1,0,1,1,0,0,0,0,16,16,40.46944557,40.46944557,40,139,79.6,54.22453319,2940.3,0,0,0,0,0,0,0,0,1,99.5,40,139,0,0,0,0,0,0,2,80,2,278,-1,-1,1,8,0,0,0,0,0,0,0,0,Infilteration
1035,6,01/03/2018 10:47:38,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,500000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Infilteration
65033,6,01/03/2018 09:29:42,25,2,0,0,0,0,0,0,0,0,0,0,0,0,80000,25,0,25,25,25,25,0,25,25,0,0,0,0,0,0,0,0,0,40,0,80000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0,0,0,0,0,0,0,0,Benign
443,6,01/03/2018 11:21:40,212,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0,0,363207.5472,14150.9434,106,114.5512986,187,25,212,106,114.5512986,187,25,0,0,0,0,0,1,0,0,0,60,0,14150.9434,0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41,25.66666667,0,0,0,0,0,0,0,3,77,0,0,253,-1,1,20,0,0,0,0,0,0,0,0,Benign
443,6,01/03/2018 09:25:11,718,3,0,77,0,46,0,25.66666667,23.45918441,0,0,0,0,107242.3398,4178.272981,359,485.0752519,702,16,718,359,485.0752519,702,16,0,0,0,0,0,1,0,0,0,60,0,4178.272981,0,0,46,30.75,21.68524844,470.25,0,1,0,0,1,0,0,0,0,41,25.66666667,0,0,0,0,0,0,0,3,77,0,0,253,-1,1,20,0,0,0,0,0,0,0,0,Benign
443,6,01/03/2018 04:48:37,115944245,22,19,904,6131,529,0,41.09090909,119.9983766,1460,0,322.6842105,561.7312577,60.6757153,0.353618241,2898606.125,4500718.794,10000000,5,116000000,5521154.524,4951570.267,10000000,12,111000000,6144995.111,5000897.981,10000000,19,0,0,0,0,452,524,0.189746373,0.163871868,0,1460,167.5,407.8291279,166324.5976,0,0,1,1,0,0,0,1,0,171.5853659,41.09090909,322.6842105,0,0,0,0,0,0,22,904,19,6131,8192,980,15,20,61838.91667,141538.2574,511283,20828,9600180.5,1350427.71,10000000,5313374,Benign
53,17,01/03/2018 04:05:19,312,1,1,45,61,45,45,45,0,61,61,61,0,339743.5897,6410.25641,312,0,312,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3205.128205,3205.128205,45,61,50.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,75.5,45,61,0,0,0,0,0,0,1,45,1,61,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
5963,6,01/03/2018 10:47:38,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,1000000,1000000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Infilteration
445,6,01/03/2018 11:46:22,704882,5,4,286,170,103,0,57.2,52.48523602,131,0,42.5,61.79805822,646.9167889,12.76809452,88110.25,121805.4778,249749,51,704796,176199,118321.7524,249884,88,704831,234943.6667,18101.23367,249835,214796,0,0,0,0,112,92,7.093385843,5.674708675,0,131,45.6,52.98469381,2807.377778,0,0,0,1,0,0,0,0,0,50.66666667,57.2,42.5,0,0,0,0,0,0,5,286,4,170,8192,0,3,20,0,0,0,0,0,0,0,0,Benign
80,6,01/03/2018 04:30:02,115142948,16,15,442,1950,431,0,27.625,107.5675757,1460,0,130,388.9730068,20.77417716,0.269230557,3838098.267,4849141.504,10000000,5,115000000,7676196.533,4196009.892,10000000,129,111000000,7893023.714,4271912.681,10000000,11,0,0,0,0,332,444,0.138957707,0.13027285,0,1460,74.75,277.0041341,76731.29032,0,0,1,1,0,0,0,1,0,77.16129032,27.625,130,0,0,0,0,0,0,16,442,15,1950,8192,946,12,20,33932.27273,9479.307697,62512,30957,10000000,6554.208609,10000000,9999847,Benign
80,6,01/03/2018 08:50:25,44936720,6,5,5,0,1,0,0.833333333,0.40824829,0,0,0,0,0.111267578,0.244788672,4493672,4964733.469,10000000,20896,44900000,8987344,2333719.302,10000000,4812660,40100000,10000000,51.31926214,10000000,10000000,0,0,0,0,120,160,0.133521094,0.111267578,0,1,0.5,0.522232968,0.272727273,0,0,0,0,1,0,0,0,0,0.545454545,0.833333333,0,0,0,0,0,0,0,6,5,5,0,253,980,4,20,20946.75,51.55821952,21009,20896,10000000,59.51680435,10000000,10000000,Benign
52642,6,01/03/2018 03:30:11,35,1,1,0,0,0,0,0,0,0,0,0,0,0,57142.85714,35,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,28571.42857,28571.42857,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,180,254,0,20,0,0,0,0,0,0,0,0,Infilteration
445,6,01/03/2018 11:42:56,215923,3,1,0,0,0,0,0,0,0,0,0,0,0,18.52512238,71974.33333,124385.2247,215602,96,215923,107961.5,152362.4195,215698,225,0,0,0,0,0,0,0,0,0,72,32,13.89384179,4.631280595,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0,0,0,0,0,0,0,0,Benign
53,17,01/03/2018 09:47:45,266,1,1,43,59,43,43,43,0,59,59,59,0,383458.6466,7518.796992,266,0,266,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3759.398496,3759.398496,43,59,48.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,72.5,43,59,0,0,0,0,0,0,1,43,1,59,-1,-1,0,8,0,0,0,0,0,0,0,0,Benign
50639,6,01/03/2018 10:23:51,18,1,1,0,0,0,0,0,0,0,0,0,0,0,111111.1111,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,55555.55556,55555.55556,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,184,254,0,20,0,0,0,0,0,0,0,0,Infilteration
3389,6,01/03/2018 02:21:22,1406995,8,7,1132,1581,661,0,141.5,222.7920235,1173,0,225.8571429,430.0986044,1928.222915,10.6610187,100499.6429,251817.4968,968792,31,1406995,200999.2857,386348.1279,1075337,31,1343140,223856.6667,365289.101,968792,64684,0,0,0,0,168,148,5.685876638,4.975142058,0,1173,169.5625,317.7627981,100973.1958,0,0,0,1,0,0,0,0,0,180.8666667,141.5,225.8571429,0,0,0,0,0,0,8,1132,7,1581,8192,62868,5,20,0,0,0,0,0,0,0,0,Infilteration
52042,6,01/03/2018 02:32:29,68380,2,1,38,0,38,0,19,26.87005769,0,0,0,0,555.7180462,43.87247733,34190,48312.36372,68352,28,68380,68380,0,68380,68380,0,0,0,0,0,1,0,0,0,40,20,29.24831822,14.62415911,0,38,19,21.93931023,481.3333333,0,1,0,0,1,0,0,0,0,25.33333333,19,0,0,0,0,0,0,0,2,38,1,0,176,0,0,20,0,0,0,0,0,0,0,0,Benign
54496,6,01/03/2018 03:29:30,62361065,9,0,464,0,58,0,51.55555556,19.33333333,0,0,0,0,7.440540023,0.144320819,7795133.125,10900000,31700000,240068,62400000,7795133.125,10900000,31700000,240068,0,0,0,0,0,0,0,0,0,180,0,0.144320819,0,0,58,46.4,24.45494724,598.0444444,0,0,0,0,1,1,0,0,0,51.55555556,51.55555556,0,0,0,0,0,0,0,9,464,0,0,62,-1,8,20,7579763,0,7579763,7579763,18300000,12300000,31700000,7679601,Infilteration
3389,6,01/03/2018 01:08:29,1399521,8,7,1132,1581,661,0,141.5,222.7920235,1173,0,225.8571429,430.0986044,1938.520394,10.71795279,99965.78571,251903.5698,968855,28,1399521,199931.5714,386932.8662,1075697,28,1336613,222768.8333,365885.4291,968855,63748,0,0,0,0,168,148,5.716241485,5.0017113,0,1173,169.5625,317.7627981,100973.1958,0,0,0,1,0,0,0,0,0,180.8666667,141.5,225.8571429,0,0,0,0,0,0,8,1132,7,1581,8192,62868,5,20,0,0,0,0,0,0,0,0,Benign
9968,6,01/03/2018 02:42:19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,500000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Benign
445,6,01/03/2018 02:11:48,644522,5,4,373,172,140,0,74.6,70.28371077,133,0,43,62.75348596,845.587893,13.96383677,80565.25,94380.8642,192668,3,644453,161113.25,110112.8652,248595,3,644477,214825.6667,30183.47383,249106,192237,0,0,0,0,112,92,7.757687092,6.206149674,0,140,54.5,64.19804428,4121.388889,0,0,0,1,0,0,0,0,0,60.55555556,74.6,43,0,0,0,0,0,0,5,373,4,172,8192,0,3,20,0,0,0,0,0,0,0,0,Benign
